"","core_openmuse","broad_openmuse","nace_r2","indic_sbs","values"
"1",1,1,"C322","EMP_NR",20961
"2",1,1,"J592","EMP_NR",41151
"3",0,1,"C182","EMP_NR",NA
"4",0,1,"G476","EMP_NR",684926
"5",0,1,"J601","EMP_NR",31100
"6",0,1,"J602","EMP_NR",122000
"7",0,1,"M731","EMP_NR",878513
"8",0,1,"R90","EMP_NR",613151
"9",1,1,"C322","ENT_NR",6700
"10",1,1,"J592","ENT_NR",31158
"11",0,1,"C182","ENT_NR",6650
"12",0,1,"G476","ENT_NR",159776
"13",0,1,"J601","ENT_NR",4762
"14",0,1,"J602","ENT_NR",4050
"15",0,1,"M731","ENT_NR",327380
"16",0,1,"R90","ENT_NR",554649
"17",1,1,"C322","NETTUR_MEUR",1827.72
"18",1,1,"J592","NETTUR_MEUR",10000
"19",0,1,"C182","NETTUR_MEUR",2430
"20",0,1,"G476","NETTUR_MEUR",110000
"21",0,1,"J601","NETTUR_MEUR",4000
"22",0,1,"J602","NETTUR_MEUR",54200
"23",0,1,"M731","NETTUR_MEUR",144357.31
"24",0,1,"R90","NETTUR_MEUR",50000
